party,seats,sq_cabinet,sq_pm,election_year,base,miw_new,banzhaf,shapley,splus,country,cabinet_id,party_id,cabinet_name,caretaker,cabinet_party,prime_minister,left_rightx,left_righty,cabinet_seats,total_cabinet_size,party_count,cab_count,party_name,party_name_english,country_id,election_id,seats_share,election_date,start_date,post_election,enpp,mingov,bicameral,largest_parl,largest_cab,lag_largest_parl,lag_largest_cab,seats_total,miw_proportion,cabinet_proportion,seats_proportion,W,A,B,B_star,C,D,E,country_dummy1,country_dummy2,country_dummy3,country_dummy4,country_dummy5,country_dummy6,country_dummy7,country_dummy8,country_dummy9,country_dummy10,country_dummy11,country_dummy12,country_dummy13,coalition_total
MP,16,0,0,1998,16,1,.054545455,.052380953,.037114386,SWE,503,1154,Persson II,0,0,0,3.3733334,,0,22,7,1,Miljæpartiet de Græna,Greens,35,33,4.584527,9/21/1998,10/7/1998,1,4.293757,1,0,0,0,0,0,349,.06666667,0,.045845274,175,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
SJ,25,1,1,2007,25,2,.5,.5,.45831084,ISL,558,1342,Haarde II,0,1,1,6.9444444,,6,12,5,2,Sj_lfst__isflokkurinn,Independence Party,56,265,39.682541,5/12/2007,5/24/2007,1,3.6246576,0,0,1,1,1,1,63,.40000001,.5,.3968254,32,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,43
GRENG,5,0,0,1994,5,1,.07692308,.06666667,.051241543,LUX,222,310,Santer III,0,0,0,1.5789474,,0,15,5,2,D_i Gr_ng _ Les Verts _ Die Grnen,The Greens,7,306,8.333333,6/12/1994,7/13/1994,1,3.8961039,0,0,0,0,0,0,60,.11111111,0,.083333336,31,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
GRAEN,6,0,0,1999,6,1,.16666667,.16666667,.12125787,ISL,177,210,Oddsson III,0,0,0,1.4473684,,0,12,5,2,Vinstrihreyfingin _ gr_nt frambo_,Left-Green Movement,56,592,9.5238094,5/8/1999,5/28/1999,1,3.454308,0,0,0,0,0,0,63,.2,0,.095238097,32,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
CSV,21,1,1,1994,21,3,.38461539,.40000001,.37944207,LUX,222,1234,Santer III,0,1,1,6.7105263,,8,15,5,2,Chrschtlech Sozial Vollekspartei _ Parti populaire chr_tien social _ Christlich Soziale Volkspartei,Christian Social People's Party,7,306,35,6/12/1994,7/13/1994,1,3.8961039,0,0,1,1,1,1,60,.33333334,.53333336,.34999999,31,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,38
CDU/CSU,245,1,1,1998,245,1,.16666667,.16666667,.14481552,DEU,107,808,Schroeder I,0,0,0,6.1757778,6.7,0,17,6,2,Christlich Demokratische Union,Christian Democratic Union,54,679,29.596413,9/27/1998,10/27/1998,1,3.3013034,0,1,0,0,0,1,669,.2,0,.36621824,335,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
GRUE,55,1,0,2002,55,1,.33333334,.33333334,.25255474,DEU,529,772,Schroeder II,-9999,1,0,2.8744444,2.8,3,14,6,2,BÎÙndnis 90 / Die GrÎÙnen,Alliance 90 / Greens,54,385,9.1210613,9/22/2002,10/22/2002,1,3.376034,0,1,0,0,0,0,603,.33333334,.21428572,.091210611,302,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,306
GRENG,7,0,0,2004,7,1,.16666667,.16666667,.12029131,LUX,12,310,Juncker III,0,0,0,1.5789474,,0,25,5,2,D_i Gr_ng _ Les Verts _ Die Grnen,The Greens,7,383,11.666667,6/13/2004,7/31/2004,1,3.8054969,0,0,0,0,0,0,60,.2,0,.11666667,31,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
OVP,52,1,0,1994,52,1,.33333334,.33333334,.31424025,AUT,294,1013,Vranitzky IV,0,1,0,6.3666666,5.8,9,17,5,2,sterreichische Volkspartei,Austrian People's Party,59,66,28.4153,10/9/1994,11/29/1994,1,3.7280419,0,1,0,0,0,0,183,.33333334,.5625,.28415301,92,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,117
FR,22,0,0,1989,22,2,.15384616,.16666667,.14841659,NOR,94,351,Syse,0,0,0,9.244444400000001,9.4,0,19,7,3,Fremskrittspartiet,Progress Party,9,571,13.333333,9/11/1989,10/16/1989,1,4.2347178,1,0,0,0,0,0,165,.18181819,0,.13333334,83,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
A,10,1,0,1991,10,1,.16666667,.16666667,.14102757,ISL,640,228,Oddsson I,0,1,0,4.4444444,,5,11,5,2,Al___uflokkurinn,Social Democratic Party,56,274,15.873015,4/20/1991,4/30/1991,1,3.7764034,0,0,0,0,0,0,63,.2,.45454547,.15873016,32,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,36
DSP,1,0,0,1987,1,1,.027027028,.047619049,.011187691,IRL,77,379,Haughey III,0,0,0,,,0,16,7,1,Democratic Socialist Party,Democratic Socialist Party,37,43,.60240966,2/17/1987,3/10/1987,1,2.8921075,1,1,0,0,0,0,165,.090909094,0,.0060606059,83,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
SF,5,0,0,2002,5,1,.027027028,.047619049,.031348769,IRL,179,433,Ahern II,0,0,0,2.031579,,0,16,8,2,Sinn F_in,Sinn Fein,37,408,3.0120482,5/15/2002,6/6/2002,1,3.3368855,0,1,0,0,0,0,166,.090909094,0,.030120483,84,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
FPO,41,0,0,1995,41,1,.33333334,.33333334,.30255806,AUT,323,50,Vranitzky V,0,0,0,8.2955556,6.8,0,15,5,2,Freiheitliche Partei sterreichs,Freedom Party of Austria,59,162,22.404371,12/17/1995,3/12/1996,1,3.4858956,0,1,0,0,0,0,183,.33333334,0,.22404371,92,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
CDS-PP,21,0,0,2009,21,2,.23076923,.23333333,.18752125,PRT,858,251,Socrates II,0,0,0,7.935,,0,17,5,1,Partido Popular,People's Party,63,405,9.130435,9/27/2009,10/26/2009,1,3.13166,1,0,0,0,0,0,230,.22222222,0,.091304347,116,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
